"Year","DOY","Sat","N_notNA","N_notNA_outliersRem","chl_mean_all","chl_median_all","chl_mean_or","chl_median_or","chl_mean_near","chl_median_near","chl_mean_near_or","chl_median_near_or","file"
2014,151,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2014151185000.L2_LAC_OC"
2014,154,"A",173,141,81.1647043082583,39.4349327087402,41.0620479337501,28.4130229949951,148.75715637207,118.46981048584,108.807861328125,108.807861328125,"A2014154192000.L2_LAC_OC"
2014,156,"A",435,366,89.9052580710115,65.0898666381836,56.9352607072377,49.8286514282227,85.1328678131104,92.2164344787598,85.1328678131104,92.2164344787598,"A2014156191000.L2_LAC_OC"
2014,164,"A",64,52,85.186862103641,41.3096160888672,37.3375585904488,19.325366973877,NA,NA,NA,NA,"A2014164182000.L2_LAC_OC"
2014,165,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2014165190000.L2_LAC_OC"
2014,188,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2014188191000.L2_LAC_OC"
2014,202,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2014202192000.L2_LAC_OC"
2014,257,"A",172,157,49.249069122381,16.7288131713867,30.0935946877595,14.1417932510376,135.573394775391,135.573394775391,135.573394775391,135.573394775391,"A2014257192500.L2_LAC_OC"
2014,259,"A",159,134,70.0489621192404,27.8052215576172,33.7633527214847,22.3202810287476,NA,NA,NA,NA,"A2014259191500.L2_LAC_OC"
2014,266,"A",117,97,70.8099381088192,24.100944519043,35.2364777486349,21.394287109375,NA,NA,NA,NA,"A2014266192000.L2_LAC_OC"
2014,268,"A",142,122,62.1358291128991,21.1967039108276,28.0511738433213,17.9370126724243,NA,NA,NA,NA,"A2014268191000.L2_LAC_OC"
2014,282,"A",101,88,66.8085595640806,23.7252349853516,36.1253668557514,20.6763324737549,NA,NA,NA,NA,"A2014282192000.L2_LAC_OC"
2014,284,"A",43,38,66.4767818340035,21.3238925933838,37.6736848103373,18.3759546279907,NA,NA,NA,NA,"A2014284191000.L2_LAC_OC"
2014,295,"A",54,45,70.3450628828119,25.2084712982178,37.2083323902554,16.0205249786377,NA,NA,NA,NA,"A2014295185000.L2_LAC_OC"
2014,298,"A",70,64,38.9914194856371,15.1218829154968,22.3815759941936,14.5140585899353,NA,NA,NA,NA,"A2014298192000.L2_LAC_OC"
2014,305,"A",37,32,57.707164545317,17.7742824554443,30.3448067754507,16.5216999053955,NA,NA,NA,NA,"A2014305192500.L2_LAC_OC"
2014,143,"T",61,54,72.8404970325407,49.4491577148438,53.3339331238358,41.3591365814209,NA,NA,NA,NA,"T2014143162000.L2_LAC_OC"
2014,149,"T",173,155,62.0395942009942,33.0202140808105,39.0562676491276,29.2658519744873,27.8452703302557,21.1706581115723,27.8452703302557,21.1706581115723,"T2014149172000.L2_LAC_OC"
2014,150,"T",89,89,22.2220714842336,12.6170682907104,22.2220714842336,12.6170682907104,7.58600580692291,7.58600580692291,7.58600580692291,7.58600580692291,"T2014150162500.L2_LAC_OC"
2014,164,"T",115,101,66.8269856991975,38.3299331665039,43.3505842001131,30.3282451629639,NA,NA,NA,NA,"T2014164164000.L2_LAC_OC"
2014,167,"T",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"T2014167171000.L2_LAC_OC"
2014,185,"T",194,161,86.1272985566523,51.8980369567871,51.4600520933637,36.5707359313965,NA,NA,NA,NA,"T2014185165500.L2_LAC_OC"
2014,198,"T",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"T2014198162500.L2_LAC_OC"
2014,214,"T",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"T2014214162500.L2_LAC_OC"
2014,219,"T",312,297,60.1258292580262,45.7448215484619,50.9499401789322,44.5080986022949,46.3677340916225,47.5930480957031,46.3677340916225,47.5930480957031,"T2014219164500.L2_LAC_OC"
2014,221,"T",59,56,46.3915370197619,35.4458923339844,36.2466777903693,33.6039028167725,NA,NA,NA,NA,"T2014221163000.L2_LAC_OC"
2014,226,"T",107,106,24.0344321148418,19.2752323150635,20.4819243966408,19.2630310058594,19.9572655200958,20.8584489822388,19.9572655200958,20.8584489822388,"T2014226165000.L2_LAC_OC"
2014,246,"T",42,33,98.0033460571652,36.5460166931152,44.5561958370787,20.0133514404297,NA,NA,NA,NA,"T2014246162500.L2_LAC_OC"
2014,249,"T",165,149,69.1976294373021,52.2239685058594,51.8808870315552,44.2028350830078,NA,NA,NA,NA,"T2014249165500.L2_LAC_OC"
2014,265,"T",93,76,88.7760480450046,51.4591522216797,51.6074435334457,42.4102954864502,NA,NA,NA,NA,"T2014265165500.L2_LAC_OC"
2014,269,"T",47,39,68.6295284514731,9.86281871795654,27.3253723535782,7.28596305847168,NA,NA,NA,NA,"T2014269163000.L2_LAC_OC"
2014,283,"T",73,73,24.0066633779709,13.1575260162354,24.0066633779709,13.1575260162354,NA,NA,NA,NA,"T2014283164500.L2_LAC_OC"
2014,285,"T",23,21,39.9096347145412,20.6850547790527,28.2540783655076,19.2130641937256,NA,NA,NA,NA,"T2014285163000.L2_LAC_OC"
